column_name,data_type,character_maximum_length
CSTM_NUM_2,numeric,NULL
CSTM_NUM_3,numeric,NULL
CSTM_FLAG_1,numeric,NULL
CSTM_FLAG_2,numeric,NULL
CSTM_FLAG_3,numeric,NULL
ID_ORD_WEB,varchar,30
AMT_CHRG_MISC,numeric,NULL
AMT_CHRG_MISC_FC,varchar,14
AMT_FRT_FC,varchar,14
TAX_SLS_FC,varchar,14
rowchecksum,int,NULL
keychecksum,int,NULL
