"DATABASE_NAME","SCHEMA_NAME","TABLE_NAME","COLUMN_NAME","DATA_TYPE","CHAR_MAX_LENGTH","MIN_VALUE","MAX_VALUE","DISTINCT_COUNT","NULL_%","SAMPLE_VALUES"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_REORD_Bronze","CSTM_ALPHA_90_2","TEXT(90)","90",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_REORD_Bronze","CSTM_ALPHA_90_3","TEXT(90)","90",,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_REORD_Bronze","CSTM_DATE_1","TIMESTAMP_NTZ(9)",,,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_REORD_Bronze","CSTM_DATE_2","TIMESTAMP_NTZ(9)",,,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_REORD_Bronze","CSTM_DATE_3","TIMESTAMP_NTZ(9)",,,,"0",100,""
"BRONZE_DATA","TCM_BRONZE","ITMMAS_REORD_Bronze","CSTM_NUM_1","NUMBER(13,5)",,"0.00000","0.00000","1",0,"0.00000"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_REORD_Bronze","CSTM_NUM_2","NUMBER(13,5)",,"0.00000","0.00000","1",0,"0.00000"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_REORD_Bronze","CSTM_NUM_3","NUMBER(13,5)",,"0.00000","0.00000","1",0,"0.00000"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_REORD_Bronze","CSTM_FLAG_1","NUMBER(1,0)",,"0","0","1",0,"0"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_REORD_Bronze","CSTM_FLAG_2","NUMBER(1,0)",,"0","0","1",0,"0"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_REORD_Bronze","CSTM_FLAG_3","NUMBER(1,0)",,"0","0","1",0,"0"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_REORD_Bronze","rowchecksum","NUMBER(10,0)",,"-2147447961","2147447120","155115",0,"-61818307, 1641212866, 1841016663, 57741022, 893042799"
"BRONZE_DATA","TCM_BRONZE","ITMMAS_REORD_Bronze","keychecksum","NUMBER(10,0)",,"-2147481053","2147314700","154392",0,"-1255560285, 1576744954, 1626100761, 1631404985, 934100366"
