GOLD TRANSFORMATIONS,*denotes derived field,,,,,,,,,,
copy from bronze asses,copy from bronze asses,copy from bronze asses,copy from bronze asses,copy from bronze asses,copy from bronze asses,includes any join clauses notating primary table and secondary table,,,,,
SILVER_DATA,TCM_SILVER,SHIPMENT_MASTER_SILVER,Shipment_Flag_Picked,,,,Shipment_Flag_Picked,"NUMBER(1,0)",,,
SILVER_DATA,TCM_SILVER,SHIPMENT_MASTER_SILVER,Bill_Of_Lading_Carrier_Name,,,,Bill_Of_Lading_Carrier_Name,,,,
SILVER_DATA,TCM_SILVER,SHIPMENT_MASTER_SILVER,Bill_Of_Lading_Carrier_ID,,,,Bill_Of_Lading_Carrier_ID,,,,
SILVER_DATA,TCM_SILVER,SHOP_ORDER_MASTER_SILVER,Shop_Order_ID,,,,Shop_Order_ID,TEXT(9),,,
SILVER_DATA,TCM_SILVER,SHOP_ORDER_MASTER_SILVER,Shop_Order_SUFX_ID,,,,Shop_Order_SUFX_ID,"NUMBER(3,0)",,,
SILVER_DATA,TCM_SILVER,SHOP_ORDER_MASTER_SILVER,Shop_Order_Process_Status,,,renamed based on teams conversation- need to make sure it is renamed in silver,Shop_Order_Process_Status,TEXT(1),,,
SILVER_DATA,TCM_SILVER,SHOP_ORDER_MASTER_SILVER,Shop_Order_Location_ID,,,,Shop_Order_Location_ID,TEXT(5),,,
SILVER_DATA,TCM_SILVER,CUSTOMER_MASTER_SILVER,Customer_ID_Sold-To,,,,Customer_ID_Sold-To,,,,
SILVER_DATA,TCM_SILVER,CUSTOMER_MASTER_SILVER,Customer_Name_Sold-To,,,,Customer_Name_Sold-To,,,,
SILVER_DATA,TCM_SILVER,CUSTOMER_MASTER_SILVER,Customer_Credit_Status,,,,Customer_Credit_Status,TEXT(2),,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
